airport,state,latitude,longitude
Barksdale Air Force Base Airport,Louisiana,32.5012,-93.6577
New Orleans International,Louisiana,29.9893,-90.2548
Washington Dulles International Airport,DC,38.9445,-77.455803
Ronald Reagan Washington Natl,DC,38.8513,-77.036
Charleston Afb/Intl Airport,South Carolina,32.894268,-80.038159
Lambert-St Louis International,Missouri,38.74768694,-90.35998972
Laguardia Ny,New York,40.7769271,-73.8739659
Charlotte/Douglas International Airport,North Carolina,35.21389,-80.943054
Los Angeles International,California,33.94253611,-118.4080744
Chicago O'Hare International Airport,Illinois,41.9786,-87.9048
Portland International (Or),Oregon,45.588654,-122.593117
Fort Lauderdale/Hollywood International,Florida,26.0742344,-80.1506022
Houston-Hobby,Texas,29.6407,-95.274
San Antonio International,Texas,29.53369444,-98.46977778
Sacramento International,California,38.69542167,-121.5907669
Will Rogers World Airport,Oklahoma,35.393101,-97.6007
Atlanta International,Georgia,33.640411,-84.419853
Indianapolis International,Indiana,39.71732917,-86.29438417
Dallas/Fort Worth International Airport,Texas,32.89748,-97.040443
Kansas City International,Missouri,39.29760528,-94.71390556
Mineta San Jose International,California,37.363949,-121.92894
Metro Oakland International,California,37.712569,-122.219743
Nashville International,Tennessee,36.12447667,-86.67818222
Minneapolis-St Paul International,Minnesota,44.881986,-93.2081
Salt Lake City International,Utah,40.758701,-111.876183
Honolulu International Airport,Hawaii,21.3245132,-157.9250736
Austin-Bergstrom International,Texas,30.19453278,-97.66987194
San Francisco International Airport,California,37.61899948,-122.375
Cleveland-Hopkins International Airport,Ohio,41.412434,-81.847992
Cincinnati/Northern Kentucky International Airport,Kentucky,39.0532746,-84.6630165
Louisville International Airport,Kentucky,38.175662,-85.7369231
Greater Pittsburgh,Pennsylvania,40.4406,-79.9959
Baltimore Wash International,Maryland,39.1718,-76.6677
Logan International,Massachusetts,42.366978,-71.022362
Orlando International,Florida,28.42888889,-81.31602778
Port Columbus International,Ohio,39.99994,-82.887177
Eppley Airfield,Nebraska,41.3032,-95.894096
Atlantic City International,New Jersey,39.45758333,-74.57716667
George Bush Intercontinental,Texas,29.98047222,-95.33972222
Seattle-Tacoma International,Washington,47.443546,-122.301659
Memphis International,Tennessee,35.04241667,-89.97666667
Lihue Airport,Hawaii,21.976,-159.339005
Newark Liberty International Airport,New Jersey,40.692501,-74.168701
Philadelphia International,Pennsylvania,39.8743959,-75.2424229
John F Kennedy International,New York,39.8743959,-75.2424229
Phoenix Sky Harbor,Arizona,33.437269,-112.007788
Teterboro Airport,New Jersey,40.85010147,-74.06079865
Detroit Metro Wayne County Airport,Michigan,42.2161722,-83.3553842
Chicago Midway International Airport,Illinois,41.785999,-87.752403
Denver International Airport,Colorado,39.86169815,-104.6729965
